step,elapsed,x_laser,G,cooling_rate,R,Tmax
5880,5881.00,114.62,1.2964e-02,1.9736e-04,1.5224e-02,1.2491
5900,5901.00,115.02,1.2972e-02,1.9642e-04,1.5142e-02,1.2490
5920,5921.00,115.42,1.2982e-02,1.9631e-04,1.5122e-02,1.2490
5940,5941.00,115.82,1.2996e-02,1.9736e-04,1.5186e-02,1.2489
5960,5961.00,116.22,1.2996e-02,1.9763e-04,1.5206e-02,1.2489
5980,5981.00,116.62,1.3057e-02,1.9922e-04,1.5258e-02,1.2489
6000,6001.00,117.02,1.3063e-02,1.9999e-04,1.5310e-02,1.2488
6020,6021.00,117.42,1.3090e-02,1.9979e-04,1.5262e-02,1.2487
6040,6041.00,117.82,1.3132e-02,1.9842e-04,1.5109e-02,1.2486
6060,6061.00,118.22,1.3175e-02,1.9755e-04,1.4994e-02,1.2484
6080,6081.00,118.62,1.3173e-02,1.9515e-04,1.4814e-02,1.2483
6100,6101.00,119.02,1.3253e-02,1.9426e-04,1.4657e-02,1.2481
6120,6121.00,119.42,1.3265e-02,1.9350e-04,1.4587e-02,1.2480
6140,6141.00,119.82,1.3286e-02,1.9353e-04,1.4567e-02,1.2477
6160,6161.00,120.22,1.3350e-02,1.9357e-04,1.4500e-02,1.2476
6180,6181.00,120.62,1.3376e-02,1.9212e-04,1.4363e-02,1.2474
6200,6201.00,121.02,1.3405e-02,1.9004e-04,1.4177e-02,1.2473
6220,6221.00,121.42,1.3446e-02,1.8805e-04,1.3986e-02,1.2471
6240,6241.00,121.82,1.3510e-02,1.8679e-04,1.3826e-02,1.2470
6260,6261.00,122.22,1.3561e-02,1.8657e-04,1.3758e-02,1.2468
6280,6281.00,122.62,1.3576e-02,1.8721e-04,1.3790e-02,1.2467
6300,6301.00,123.02,1.3625e-02,1.8719e-04,1.3739e-02,1.2465
6320,6321.00,123.42,1.3693e-02,1.8619e-04,1.3597e-02,1.2464
6340,6341.00,123.82,1.3743e-02,1.8593e-04,1.3529e-02,1.2461
6360,6361.00,124.22,1.3752e-02,1.8550e-04,1.3489e-02,1.2459
6380,6381.00,124.62,1.3776e-02,1.8491e-04,1.3423e-02,1.2455
6400,6401.00,125.02,1.3869e-02,1.8452e-04,1.3305e-02,1.2453
6420,6421.00,125.42,1.3913e-02,1.8256e-04,1.3122e-02,1.2449
6440,6441.00,125.82,1.3974e-02,1.8054e-04,1.2920e-02,1.2445
6460,6461.00,126.22,1.4029e-02,1.7853e-04,1.2726e-02,1.2441
