step,elapsed,x_laser,G,cooling_rate,R,Tmax
24640,24641.00,56.33,1.5661e-02,1.9161e-05,1.2235e-03,1.2341
24660,24661.00,56.38,1.5675e-02,1.9282e-05,1.2301e-03,1.2339
24680,24681.00,56.42,1.5665e-02,1.9331e-05,1.2340e-03,1.2337
24700,24701.00,56.47,1.5665e-02,1.9371e-05,1.2366e-03,1.2335
24720,24721.00,56.51,1.5664e-02,1.9394e-05,1.2381e-03,1.2333
24740,24741.00,56.56,1.5672e-02,1.9400e-05,1.2379e-03,1.2331
24760,24761.00,56.61,1.5670e-02,1.9397e-05,1.2378e-03,1.2329
24780,24781.00,56.65,1.5670e-02,1.9371e-05,1.2362e-03,1.2326
24800,24801.00,56.70,1.5647e-02,1.9344e-05,1.2362e-03,1.2324
24820,24821.00,56.74,1.5640e-02,1.9326e-05,1.2357e-03,1.2322
24840,24841.00,56.79,1.5645e-02,1.9347e-05,1.2366e-03,1.2320
24860,24861.00,56.84,1.5662e-02,1.9363e-05,1.2363e-03,1.2319
24880,24881.00,56.88,1.5670e-02,1.9340e-05,1.2342e-03,1.2317
24900,24901.00,56.93,1.5666e-02,1.9347e-05,1.2349e-03,1.2315
24920,24921.00,56.97,1.5663e-02,1.9343e-05,1.2349e-03,1.2313
24940,24941.00,57.02,1.5656e-02,1.9344e-05,1.2356e-03,1.2311
24960,24961.00,57.07,1.5700e-02,1.9350e-05,1.2325e-03,1.2309
24980,24981.00,57.11,1.5702e-02,1.9349e-05,1.2323e-03,1.2307
25000,25001.00,57.16,1.5698e-02,1.9394e-05,1.2354e-03,1.2305
25020,25021.00,57.20,1.5704e-02,1.9386e-05,1.2345e-03,1.2303
25040,25041.00,57.25,1.5684e-02,1.9402e-05,1.2371e-03,1.2301
25060,25061.00,57.30,1.5674e-02,1.9389e-05,1.2370e-03,1.2299
25080,25081.00,57.34,1.5683e-02,1.9355e-05,1.2341e-03,1.2296
25100,25101.00,57.39,1.5697e-02,1.9381e-05,1.2347e-03,1.2294
25120,25121.00,57.43,1.5694e-02,1.9387e-05,1.2353e-03,1.2292
25140,25141.00,57.48,1.5688e-02,1.9485e-05,1.2420e-03,1.2290
25160,25161.00,57.53,1.5705e-02,1.9580e-05,1.2467e-03,1.2288
25180,25181.00,57.57,1.5697e-02,1.9738e-05,1.2574e-03,1.2285
25200,25201.00,57.62,1.5695e-02,1.9848e-05,1.2646e-03,1.2283
25220,25221.00,57.66,1.5693e-02,1.9841e-05,1.2644e-03,1.2281
