step,elapsed,x_laser,G,cooling_rate,R,Tmax
27200,27201.00,62.22,2.2061e-02,2.4704e-05,1.1198e-03,1.3414
27220,27221.00,62.26,2.2022e-02,2.4764e-05,1.1245e-03,1.3413
27240,27241.00,62.31,2.2150e-02,2.4802e-05,1.1197e-03,1.3413
27260,27261.00,62.36,2.2136e-02,2.4746e-05,1.1179e-03,1.3413
27280,27281.00,62.40,2.2083e-02,2.4740e-05,1.1203e-03,1.3412
27300,27301.00,62.45,2.2109e-02,2.4627e-05,1.1139e-03,1.3412
27320,27321.00,62.49,2.2108e-02,2.4576e-05,1.1116e-03,1.3411
27340,27341.00,62.54,2.2101e-02,2.4535e-05,1.1102e-03,1.3411
27360,27361.00,62.59,2.2032e-02,2.4408e-05,1.1078e-03,1.3411
27380,27381.00,62.63,2.2072e-02,2.4273e-05,1.0997e-03,1.3410
27400,27401.00,62.68,2.2064e-02,2.4143e-05,1.0942e-03,1.3409
27420,27421.00,62.72,2.2121e-02,2.4077e-05,1.0884e-03,1.3409
27440,27441.00,62.77,2.2161e-02,2.4086e-05,1.0869e-03,1.3408
27460,27461.00,62.82,2.2131e-02,2.4107e-05,1.0893e-03,1.3408
27480,27481.00,62.86,2.2151e-02,2.4103e-05,1.0881e-03,1.3407
27500,27501.00,62.91,2.2122e-02,2.4159e-05,1.0921e-03,1.3407
27520,27521.00,62.95,2.2053e-02,2.4182e-05,1.0965e-03,1.3406
27540,27541.00,63.00,2.2050e-02,2.4245e-05,1.0996e-03,1.3405
27560,27561.00,63.05,2.2078e-02,2.4219e-05,1.0970e-03,1.3404
27580,27581.00,63.09,2.2108e-02,2.4202e-05,1.0947e-03,1.3404
27600,27601.00,63.14,2.2005e-02,2.4175e-05,1.0986e-03,1.3403
27620,27621.00,63.18,2.2043e-02,2.4115e-05,1.0940e-03,1.3403
27640,27641.00,63.23,2.2052e-02,2.4131e-05,1.0943e-03,1.3403
27660,27661.00,63.28,2.2053e-02,2.4104e-05,1.0930e-03,1.3402
27680,27681.00,63.32,2.2076e-02,2.4223e-05,1.0972e-03,1.3402
27700,27701.00,63.37,2.2097e-02,2.4205e-05,1.0954e-03,1.3402
27720,27721.00,63.41,2.2128e-02,2.4190e-05,1.0932e-03,1.3401
27740,27741.00,63.46,2.2127e-02,2.4254e-05,1.0961e-03,1.3401
27760,27761.00,63.51,2.2044e-02,2.4350e-05,1.1046e-03,1.3400
27780,27781.00,63.55,2.2109e-02,2.4504e-05,1.1083e-03,1.3400
27800,27801.00,63.60,2.2119e-02,2.4725e-05,1.1178e-03,1.3399
27820,27821.00,63.64,2.2115e-02,2.4865e-05,1.1244e-03,1.3398
27840,27841.00,63.69,2.2146e-02,2.4859e-05,1.1225e-03,1.3398
27860,27861.00,63.74,2.2071e-02,2.4617e-05,1.1154e-03,1.3397
27880,27881.00,63.78,2.2087e-02,2.4371e-05,1.1034e-03,1.3396
27900,27901.00,63.83,2.2108e-02,2.4179e-05,1.0937e-03,1.3396
27920,27921.00,63.87,2.2125e-02,2.4045e-05,1.0868e-03,1.3395
27940,27941.00,63.92,2.2234e-02,2.4011e-05,1.0799e-03,1.3394
27960,27961.00,63.97,2.2254e-02,2.3995e-05,1.0782e-03,1.3393
27980,27981.00,64.01,2.2192e-02,2.4056e-05,1.0840e-03,1.3392
28000,28001.00,64.06,2.2181e-02,2.4096e-05,1.0864e-03,1.3391
28020,28021.00,64.10,2.2162e-02,2.4267e-05,1.0950e-03,1.3390
28040,28041.00,64.15,2.2134e-02,2.4263e-05,1.0962e-03,1.3390
28060,28061.00,64.20,2.2148e-02,2.4219e-05,1.0935e-03,1.3389
28080,28081.00,64.24,2.2149e-02,2.4239e-05,1.0944e-03,1.3388
28100,28101.00,64.29,2.2177e-02,2.4214e-05,1.0918e-03,1.3388
28120,28121.00,64.33,2.2196e-02,2.4217e-05,1.0911e-03,1.3387
28140,28141.00,64.38,2.2144e-02,2.4267e-05,1.0959e-03,1.3387
28160,28161.00,64.43,2.2145e-02,2.4368e-05,1.1004e-03,1.3386
28180,28181.00,64.47,2.2183e-02,2.4500e-05,1.1045e-03,1.3386
28200,28201.00,64.52,2.2271e-02,2.4751e-05,1.1114e-03,1.3385
28220,28221.00,64.56,2.2368e-02,2.4925e-05,1.1143e-03,1.3384
28240,28241.00,64.61,2.2355e-02,2.4730e-05,1.1062e-03,1.3383
28260,28261.00,64.66,2.2369e-02,2.4582e-05,1.0989e-03,1.3381
28280,28281.00,64.70,2.2379e-02,2.4682e-05,1.1029e-03,1.3379
28300,28301.00,64.75,2.2389e-02,2.5023e-05,1.1176e-03,1.3378
28320,28321.00,64.79,2.2363e-02,2.5259e-05,1.1295e-03,1.3377
28340,28341.00,64.84,2.2385e-02,2.5313e-05,1.1308e-03,1.3376
28360,28361.00,64.89,2.2387e-02,2.5323e-05,1.1312e-03,1.3376
28380,28381.00,64.93,2.2335e-02,2.5234e-05,1.1298e-03,1.3375
28400,28401.00,64.98,2.2363e-02,2.5092e-05,1.1220e-03,1.3375
28420,28421.00,65.02,2.2385e-02,2.5054e-05,1.1192e-03,1.3374
28440,28441.00,65.07,2.2413e-02,2.5010e-05,1.1159e-03,1.3373
