step,elapsed,x_laser,G,cooling_rate,R,Tmax
4820,7231.50,140.13,2.9226e-02,3.3076e-04,1.1317e-02,2.5144
4840,7261.50,140.73,2.9222e-02,3.2871e-04,1.1248e-02,2.5140
4860,7291.50,141.33,2.9244e-02,3.2799e-04,1.1215e-02,2.5134
4880,7321.50,141.93,2.9034e-02,3.3094e-04,1.1398e-02,2.5124
4900,7351.50,142.53,2.9375e-02,3.3186e-04,1.1298e-02,2.5115
4920,7381.50,143.13,2.9434e-02,3.3433e-04,1.1359e-02,2.5102
4940,7411.50,143.73,2.9413e-02,3.3735e-04,1.1469e-02,2.5083
4960,7441.50,144.33,2.9876e-02,3.3921e-04,1.1354e-02,2.5066
4980,7471.50,144.93,2.9611e-02,3.4313e-04,1.1588e-02,2.5037
5000,7501.50,145.53,2.9822e-02,3.4247e-04,1.1484e-02,2.5011
5020,7531.50,146.13,3.0158e-02,3.3944e-04,1.1255e-02,2.4972
5040,7561.50,146.73,3.0513e-02,3.4145e-04,1.1190e-02,2.4932
5060,7591.50,147.33,3.0262e-02,3.4364e-04,1.1356e-02,2.4883
5080,7621.50,147.93,3.0325e-02,3.4771e-04,1.1466e-02,2.4822
5100,7651.50,148.53,3.0447e-02,3.4814e-04,1.1434e-02,2.4761
5120,7681.50,149.13,3.0212e-02,3.5149e-04,1.1634e-02,2.4688
5140,7711.50,149.73,3.0344e-02,3.5381e-04,1.1660e-02,2.4602
